From Id	To Id	Tx	Meta
5	2	0.0885554	 UDP 520 > 520
5	4	0.0885554	 UDP 520 > 520
2	5	0.0895597	 UDP 520 > 520
4	5	0.0895597	 UDP 520 > 520
1	0	0.291822	 UDP 520 > 520
1	2	0.291822	 UDP 520 > 520
1	4	0.291822	 UDP 520 > 520
0	1	0.292827	 UDP 520 > 520
2	1	0.292827	 UDP 520 > 520
4	1	0.293827	 UDP 520 > 520
0	1	0.502761	 UDP 520 > 520
0	3	0.502761	 UDP 520 > 520
1	0	0.503765	 UDP 520 > 520
3	0	0.503765	 UDP 520 > 520
4	1	0.793688	 UDP 520 > 520
4	3	0.793688	 UDP 520 > 520
4	5	0.793688	 UDP 520 > 520
3	4	0.794692	 UDP 520 > 520
5	4	0.794692	 UDP 520 > 520
1	4	0.795692	 UDP 520 > 520
3	0	0.831145	 UDP 520 > 520
3	2	0.831145	 UDP 520 > 520
3	4	0.831145	 UDP 520 > 520
0	3	0.832149	 UDP 520 > 520
4	3	0.832149	 UDP 520 > 520
2	3	0.833149	 UDP 520 > 520
2	1	0.953657	 UDP 520 > 520
2	3	0.953657	 UDP 520 > 520
2	5	0.953657	 UDP 520 > 520
1	2	0.954661	 UDP 520 > 520
5	2	0.954661	 UDP 520 > 520
3	2	0.955661	 UDP 520 > 520
4	1	30.0654	 UDP 520 > 520
4	3	30.0654	 UDP 520 > 520
4	5	30.0654	 UDP 520 > 520
5	2	30.1272	 UDP 520 > 520
5	4	30.1272	 UDP 520 > 520
3	0	30.8365	 UDP 520 > 520
3	2	30.8365	 UDP 520 > 520
3	4	30.8365	 UDP 520 > 520
2	1	31.655	 UDP 520 > 520
2	3	31.655	 UDP 520 > 520
2	5	31.655	 UDP 520 > 520
4	1	31.7533	 UDP 520 > 520
4	3	31.7533	 UDP 520 > 520
4	5	31.7533	 UDP 520 > 520
1	0	32.3371	 UDP 520 > 520
1	2	32.3371	 UDP 520 > 520
1	4	32.3371	 UDP 520 > 520
0	1	33	 UDP 49153 > 9
1	2	33.001	 UDP 49153 > 9
2	5	33.002	 UDP 49153 > 9
0	1	33.2944	 UDP 520 > 520
0	3	33.2944	 UDP 520 > 520
0	1	34	 UDP 49153 > 9
1	2	34.001	 UDP 49153 > 9
2	5	34.002	 UDP 49153 > 9
5	2	34.8537	 UDP 520 > 520
5	4	34.8537	 UDP 520 > 520
0	1	35	 UDP 49153 > 9
1	2	35.001	 UDP 49153 > 9
2	5	35.002	 UDP 49153 > 9
2	1	35.5419	 UDP 520 > 520
2	3	35.5419	 UDP 520 > 520
2	5	35.5419	 UDP 520 > 520
3	0	35.7962	 UDP 520 > 520
3	2	35.7962	 UDP 520 > 520
3	4	35.7962	 UDP 520 > 520
4	1	35.9468	 UDP 520 > 520
4	3	35.9468	 UDP 520 > 520
4	5	35.9468	 UDP 520 > 520
0	1	36	 UDP 49153 > 9
1	2	36.001	 UDP 49153 > 9
2	5	36.002	 UDP 49153 > 9
5	2	36.003	 UDP 9 > 49153
2	1	36.004	 UDP 9 > 49153
1	0	36.0051	 UDP 9 > 49153
1	0	36.9611	 UDP 520 > 520
1	2	36.9611	 UDP 520 > 520
1	4	36.9611	 UDP 520 > 520
0	1	37	 UDP 49153 > 9
1	2	37.001	 UDP 49153 > 9
2	5	37.002	 UDP 49153 > 9
5	2	37.003	 UDP 9 > 49153
2	1	37.004	 UDP 9 > 49153
1	0	37.0051	 UDP 9 > 49153
0	1	37.7195	 UDP 520 > 520
0	3	37.7195	 UDP 520 > 520
5	2	37.9538	 UDP 520 > 520
5	4	37.9538	 UDP 520 > 520
0	1	38	 UDP 49153 > 9
1	2	38.001	 UDP 49153 > 9
2	5	38.002	 UDP 49153 > 9
5	2	38.003	 UDP 9 > 49153
2	1	38.004	 UDP 9 > 49153
1	0	38.0051	 UDP 9 > 49153
2	1	38.7513	 UDP 520 > 520
2	3	38.7513	 UDP 520 > 520
2	5	38.7513	 UDP 520 > 520
0	1	39	 UDP 49153 > 9
1	2	39.001	 UDP 49153 > 9
2	5	39.002	 UDP 49153 > 9
5	2	39.003	 UDP 9 > 49153
2	1	39.004	 UDP 9 > 49153
1	0	39.0051	 UDP 9 > 49153
1	0	39.9903	 UDP 520 > 520
1	2	39.9903	 UDP 520 > 520
1	4	39.9903	 UDP 520 > 520
0	1	40	 UDP 49153 > 9
1	2	40.001	 UDP 49153 > 9
2	5	40.002	 UDP 49153 > 9
5	2	40.003	 UDP 9 > 49153
2	1	40.004	 UDP 9 > 49153
1	0	40.0051	 UDP 9 > 49153
0	1	41	 UDP 49153 > 9
1	2	41.001	 UDP 49153 > 9
2	5	41.002	 UDP 49153 > 9
5	2	41.003	 UDP 9 > 49153
2	1	41.004	 UDP 9 > 49153
1	0	41.0051	 UDP 9 > 49153
0	1	42	 UDP 49153 > 9
1	2	42.001	 UDP 49153 > 9
2	5	42.002	 UDP 49153 > 9
5	2	42.003	 UDP 9 > 49153
2	1	42.004	 UDP 9 > 49153
1	0	42.0051	 UDP 9 > 49153
0	1	43	 UDP 49153 > 9
1	2	43.001	 UDP 49153 > 9
2	5	43.002	 UDP 49153 > 9
5	2	43.003	 UDP 9 > 49153
2	1	43.004	 UDP 9 > 49153
1	0	43.0051	 UDP 9 > 49153
0	1	44	 UDP 49153 > 9
1	2	44.001	 UDP 49153 > 9
2	5	44.002	 UDP 49153 > 9
5	2	44.003	 UDP 9 > 49153
2	1	44.004	 UDP 9 > 49153
1	0	44.0051	 UDP 9 > 49153
0	1	45	 UDP 49153 > 9
1	2	45.001	 UDP 49153 > 9
2	5	45.002	 UDP 49153 > 9
5	2	45.003	 UDP 9 > 49153
2	1	45.004	 UDP 9 > 49153
1	0	45.0051	 UDP 9 > 49153
0	1	46	 UDP 49153 > 9
1	2	46.001	 UDP 49153 > 9
2	5	46.002	 UDP 49153 > 9
5	2	46.003	 UDP 9 > 49153
2	1	46.004	 UDP 9 > 49153
1	0	46.0051	 UDP 9 > 49153
0	1	47	 UDP 49153 > 9
1	2	47.001	 UDP 49153 > 9
2	5	47.002	 UDP 49153 > 9
5	2	47.003	 UDP 9 > 49153
2	1	47.004	 UDP 9 > 49153
1	0	47.0051	 UDP 9 > 49153
0	1	48	 UDP 49153 > 9
1	2	48.001	 UDP 49153 > 9
2	5	48.002	 UDP 49153 > 9
5	2	48.003	 UDP 9 > 49153
2	1	48.004	 UDP 9 > 49153
1	0	48.0051	 UDP 9 > 49153
0	1	49	 UDP 49153 > 9
1	2	49.001	 UDP 49153 > 9
2	5	49.002	 UDP 49153 > 9
5	2	49.003	 UDP 9 > 49153
2	1	49.004	 UDP 9 > 49153
1	0	49.0051	 UDP 9 > 49153
0	1	50	 UDP 49153 > 9
1	2	50.001	 UDP 49153 > 9
2	5	50.002	 UDP 49153 > 9
5	2	50.003	 UDP 9 > 49153
2	1	50.004	 UDP 9 > 49153
1	0	50.0051	 UDP 9 > 49153
0	1	51	 UDP 49153 > 9
1	2	51.001	 UDP 49153 > 9
2	5	51.002	 UDP 49153 > 9
5	2	51.003	 UDP 9 > 49153
2	1	51.004	 UDP 9 > 49153
1	0	51.0051	 UDP 9 > 49153
0	1	52	 UDP 49153 > 9
1	2	52.001	 UDP 49153 > 9
2	5	52.002	 UDP 49153 > 9
5	2	52.003	 UDP 9 > 49153
2	1	52.004	 UDP 9 > 49153
1	0	52.0051	 UDP 9 > 49153
0	1	53	 UDP 49153 > 9
1	2	53.001	 UDP 49153 > 9
2	5	53.002	 UDP 49153 > 9
5	2	53.003	 UDP 9 > 49153
2	1	53.004	 UDP 9 > 49153
1	0	53.0051	 UDP 9 > 49153
0	1	54	 UDP 49153 > 9
1	2	54.001	 UDP 49153 > 9
2	5	54.002	 UDP 49153 > 9
5	2	54.003	 UDP 9 > 49153
2	1	54.004	 UDP 9 > 49153
1	0	54.0051	 UDP 9 > 49153
0	1	55	 UDP 49153 > 9
0	1	56	 UDP 49153 > 9
1	0	56.9635	 UDP 520 > 520
1	4	56.9635	 UDP 520 > 520
3	0	57.1561	 UDP 520 > 520
3	2	57.1561	 UDP 520 > 520
4	1	57.3475	 UDP 520 > 520
4	5	57.3475	 UDP 520 > 520
2	3	57.9307	 UDP 520 > 520
2	5	57.9307	 UDP 520 > 520
0	1	59.997	 UDP 520 > 520
0	3	59.997	 UDP 520 > 520
1	0	61.0728	 UDP 520 > 520
1	4	61.0728	 UDP 520 > 520
5	2	61.6654	 UDP 520 > 520
5	4	61.6654	 UDP 520 > 520
2	3	61.7382	 UDP 520 > 520
2	5	61.7382	 UDP 520 > 520
4	1	62.5997	 UDP 520 > 520
4	5	62.5997	 UDP 520 > 520
3	0	63.2002	 UDP 520 > 520
3	2	63.2002	 UDP 520 > 520
0	3	64	 UDP 49153 > 9
3	2	64.001	 UDP 49153 > 9
2	5	64.003	 UDP 49153 > 9
1	0	64.232	 UDP 520 > 520
1	4	64.232	 UDP 520 > 520
5	2	64.9556	 UDP 520 > 520
5	4	64.9556	 UDP 520 > 520
0	3	65	 UDP 49153 > 9
3	2	65.001	 UDP 49153 > 9
2	5	65.003	 UDP 49153 > 9
3	0	65.4599	 UDP 520 > 520
3	2	65.4599	 UDP 520 > 520
0	3	66	 UDP 49153 > 9
3	2	66.001	 UDP 49153 > 9
2	5	66.003	 UDP 49153 > 9
0	3	67	 UDP 49153 > 9
3	2	67.001	 UDP 49153 > 9
2	5	67.003	 UDP 49153 > 9
2	3	67.0233	 UDP 520 > 520
2	5	67.0233	 UDP 520 > 520
0	1	67.7503	 UDP 520 > 520
0	3	67.7503	 UDP 520 > 520
0	3	68	 UDP 49153 > 9
3	2	68.001	 UDP 49153 > 9
2	5	68.003	 UDP 49153 > 9
5	2	68.004	 UDP 9 > 49153
2	3	68.005	 UDP 9 > 49153
3	0	68.0071	 UDP 9 > 49153
4	1	68.0698	 UDP 520 > 520
4	5	68.0698	 UDP 520 > 520
0	3	69	 UDP 49153 > 9
3	2	69.001	 UDP 49153 > 9
2	5	69.003	 UDP 49153 > 9
5	2	69.004	 UDP 9 > 49153
2	3	69.005	 UDP 9 > 49153
3	0	69.0071	 UDP 9 > 49153
0	3	70	 UDP 49153 > 9
3	2	70.001	 UDP 49153 > 9
2	5	70.003	 UDP 49153 > 9
5	2	70.004	 UDP 9 > 49153
2	3	70.005	 UDP 9 > 49153
3	0	70.0071	 UDP 9 > 49153
5	2	70.5357	 UDP 520 > 520
5	4	70.5357	 UDP 520 > 520
0	3	71	 UDP 49153 > 9
3	2	71.001	 UDP 49153 > 9
2	5	71.003	 UDP 49153 > 9
5	2	71.004	 UDP 9 > 49153
2	3	71.005	 UDP 9 > 49153
3	0	71.0071	 UDP 9 > 49153
3	0	71.5897	 UDP 520 > 520
3	2	71.5897	 UDP 520 > 520
4	1	71.909	 UDP 520 > 520
4	5	71.909	 UDP 520 > 520
0	3	72	 UDP 49153 > 9
3	2	72.001	 UDP 49153 > 9
2	5	72.003	 UDP 49153 > 9
5	2	72.004	 UDP 9 > 49153
2	3	72.005	 UDP 9 > 49153
3	0	72.0071	 UDP 9 > 49153
1	0	72.1341	 UDP 520 > 520
1	4	72.1341	 UDP 520 > 520
0	3	73	 UDP 49153 > 9
3	2	73.001	 UDP 49153 > 9
2	5	73.003	 UDP 49153 > 9
5	2	73.004	 UDP 9 > 49153
2	3	73.005	 UDP 9 > 49153
3	0	73.0071	 UDP 9 > 49153
0	3	74	 UDP 49153 > 9
3	2	74.001	 UDP 49153 > 9
2	5	74.003	 UDP 49153 > 9
5	2	74.004	 UDP 9 > 49153
2	3	74.005	 UDP 9 > 49153
3	0	74.0071	 UDP 9 > 49153
0	3	75	 UDP 49153 > 9
3	2	75.001	 UDP 49153 > 9
2	5	75.003	 UDP 49153 > 9
5	2	75.004	 UDP 9 > 49153
2	3	75.005	 UDP 9 > 49153
3	0	75.0071	 UDP 9 > 49153
0	3	76	 UDP 49153 > 9
3	2	76.001	 UDP 49153 > 9
2	5	76.003	 UDP 49153 > 9
5	2	76.004	 UDP 9 > 49153
2	3	76.005	 UDP 9 > 49153
3	0	76.0071	 UDP 9 > 49153
0	3	77	 UDP 49153 > 9
3	2	77.001	 UDP 49153 > 9
2	5	77.003	 UDP 49153 > 9
5	2	77.004	 UDP 9 > 49153
2	3	77.005	 UDP 9 > 49153
3	0	77.0071	 UDP 9 > 49153
1	0	77.5182	 UDP 520 > 520
1	4	77.5182	 UDP 520 > 520
0	3	78	 UDP 49153 > 9
3	2	78.001	 UDP 49153 > 9
2	5	78.003	 UDP 49153 > 9
5	2	78.004	 UDP 9 > 49153
2	3	78.005	 UDP 9 > 49153
3	0	78.0071	 UDP 9 > 49153
0	3	79	 UDP 49153 > 9
3	2	79.001	 UDP 49153 > 9
